specimen_id,thick_i,thick_h,thick_r,species
080723-MOHK-003-B,0.24,0.1152,0.13,DP
080723-MOHK-003-C,0.21,0.0945,0.12,DP
080723-MOHK-004-A,0.21,0.1281,0.14,DP
080723-MOHK-004-B,0.18,0.101,0.15,DP
080723-MOHK-004-C,0.17,0.0991,0.13,DP
080723-MOHK-005-A,0.07,0.0974,0.1,DP
080723-MOHK-005-B,0.07,0.096,0.13,DP
080723-MOHK-005-C,0.13,0.1389,0.15,DP
080723-MOHK-006-A,0.11,0.0901,0.13,DP
080723-MOHK-006-B,0.09,0.1197,0.17,DP
080723-MOHK-006-C,0.06,0.1168,0.1,DP
080723-MOHK-007-A,0.15,0.1205,0.18,DP
080723-MOHK-007-B,0.12,0.0926,0.17,DP
080723-MOHK-007-C,0.11,0.0893,0.14,DP
080723-MOHK-008-A,0.63,0.2,0.36,CYOS
080723-MOHK-008-B,0.63,0.24,0.19,CYOS
080723-MOHK-008-C,0.55,0.19,0.18,CYOS
080723-MOHK-009-A,0.56,0.18,0.21,CYOS
080723-MOHK-009-B,0.56,0.16,0.25,CYOS
080723-MOHK-009-C,0.58,0.17,0.2,CYOS
072523-BULL-004-A,0.14,0.0902,0.18,NAND
072523-BULL-004-B,0.16,0.0916,0.14,NAND
072523-BULL-004-C,0.14,0.0834,0.22,NAND
072523-BULL-005-A,0.2,0.0724,0.33,BF
072523-BULL-005-B,0.12,0.0796,0.185,BF
072523-BULL-005-C,0.13,0.0832,0.159,BF
072523-BULL-006-A,0.1,0.0298,0.112,POLA
072523-BULL-006-B,0.12,0.0404,0.1,POLA
072523-BULL-006-C,0.15,0.0507,0.11,POLA
072523-BULL-006-D,0.14,0.0546,0.106,POLA
072523-BULL-007-A,0.15,0.082,0.171,BF
072523-BULL-007-B,0.12,0.0821,0.1708,BF
072523-BULL-007-C,0.11,0.0686,0.1415,BF
072523-BULL-008-A,0.11,0.0434,0.205,BF
072523-BULL-008-B,0.11,0.0516,0.1326,BF
072523-BULL-008-C,0.15,0.0349,0.6166666667,BF
072523-BULL-009-A,0.14,0.0987,0.1988,BF
072523-BULL-009-B,0.21,0.0849,0.1847,BF
072523-BULL-009-C,0.14,0.0643,0.1744,BF
072523-BULL-010-A,0.18,0.0766,0.163,NAND
072523-BULL-010-B,0.16,0.0669,0.1508,NAND
072523-BULL-010-C,0.17,0.071,0.216,NAND
072523-BULL-011-A,0.14,0.0562,0.1721,BF
072523-BULL-011-B,0.14,0.0659,0.1462,BF
072523-BULL-011-C,0.23,0.2337,0.2661,BF
072523-BULL-012-A,0.18,0.0671,0.1328,BF
072523-BULL-012-B,0.17,0.0612,0.1333,BF
072523-BULL-012-C,0.14,0.0665,0.1996,BF
