specimen_id,height_i,height_h,height_r,species
080723-MOHK-005-A,10.3,,,DP
080723-MOHK-005-B,16.3,,,DP
080723-MOHK-005-C,24.2,,,DP
080723-MOHK-006-A,24.3,,,DP
080723-MOHK-006-B,28.2,,,DP
080723-MOHK-006-C,9,,,DP
080723-MOHK-007-A,20.8,,,DP
080723-MOHK-007-B,21.1,,,DP
080723-MOHK-007-C,17.9,,,DP
080723-MOHK-008-A,29.6,,,CYOS
080723-MOHK-008-B,34.6,,,CYOS
080723-MOHK-008-C,32.6,,,CYOS
080723-MOHK-009-A,30.4,,,CYOS
080723-MOHK-009-B,28.6,,,CYOS
080723-MOHK-009-C,24.8,,,CYOS
