specimen_id,height_i,height_h,height_r,species,calculated_ir_m,percent_difference_r_m,calculated_ir_mm,percent_difference_r_mm
062723-MOHK-018-H,1.8,1.7,2.4,EGME,2.391,32.83333333,2.39,32.77777778
062723-MOHK-018-H,23.7,22.9,22.7,EGME,23.1936,2.136708861,23.299,1.691983122
062723-MOHK-018-I,1.8,1.7,2.1,EGME,2.08272,15.70666667,2.081,15.61111111
062723-MOHK-018-I,26.2,23.5,25.5,EGME,26.06304,0.5227480916,26.183,0.06488549618
062723-MOHK-012-J,22,21.2,22.3,EGME,22.78368,3.562181818,22.887,4.031818182
062723-MOHK-012-H,28.8,26.5,28.3,EGME,28.93248,0.46,29.067,0.9270833333
062723-MOHK-012-G,12.7,12.4,12.6,EGME,12.84312,1.126929134,12.896,1.543307087
062723-MOHK-018-F,21,19.2,20.3,EGME,20.73408,1.266285714,20.827,0.8238095238
062723-MOHK-007-H,21.8,20,21.4,EGME,21.86136,0.2814678899,21.96,0.7339449541
062723-MOHK-007-I,8.7,8,8.7,EGME,8.8464,1.682758621,8.879,2.057471264
062723-MOHK-007-J,36.2,33.5,33.7,EGME,34.4664,4.788950276,34.629,4.339779006
062723-MOHK-012-F,11.9,10.6,11.4,EGME,11.61336,2.408739496,11.66,2.016806723
062723-MOHK-012-I,16.6,15.34,16.2,EGME,16.5324,0.4072289157,16.604,0.02409638554
062723-MOHK-018-G,8.5,8,8.2,EGME,8.334,1.952941176,8.364,1.6
062723-MOHK-018-J,13.6,12.5,13.6,EGME,13.86792,1.97,13.926,2.397058824
062723-MOHK-001-F,9.2,6.9,7.5,EGME,7.61664,17.21043478,7.643,16.92391304
062723-MOHK-001-G,9.142,8.424,8.944,EGME,9.0964512,0.4982367097,9.13032,0.1277619777
062723-MOHK-001-H,22.1,20,21.5,EGME,21.96384,0.6161085973,22.063,0.1674208145
062723-MOHK-001-I,9.3,8.7,7.9,EGME,8.02656,13.69290323,8.055,13.38709677
062723-MOHK-004-F,28.4,26.5,27.9,EGME,28.52256,0.4315492958,28.655,0.8978873239
062723-MOHK-004-G,16.9,15.3,16.6,EGME,16.94232,0.2504142012,17.016,0.6863905325
062723-MOHK-004-H,11,10.1,11,EGME,11.20344,1.849454545,11.248,2.254545455
062723-MOHK-004-I,25.3,23.2,25,EGME,25.55064,0.9906719368,25.668,1.454545455
062723-MOHK-004-J,25.6,23.9,25.2,EGME,25.7556,0.6078125,25.874,1.0703125
062723-MOHK-007-F,11,10.3,10.8,EGME,10.99848,0.01381818182,11.042,0.3818181818
062723-MOHK-007-G,21.7,20.4,21.6,EGME,22.06632,1.688110599,22.166,2.147465438
071123-NAPL-022-B,16.8,14.1,17.5,CC,17.86464,6.337142857,17.3015,2.985119048
071123-NAPL-023-B,13,10.7,13.3,CC,13.56048,4.311384615,13.2317,1.782307692
071123-NAPL-023-CDE,16,13.4,16,CC,16.32744,2.0465,15.848,0.95
071123-NAPL-024-D,29.4,24.9,29.7,CC,30.3672,3.289795918,29.1233,0.9411564626
071123-NAPL-024-E,20,17.9,20.5,CC,20.93904,4.6952,20.2085,1.0425
071123-NAPL-024-Z,11.5,9.5,11.5,CC,11.71584,1.876869565,11.4875,0.1086956522
071123-NAPL-024-A,36.5,28.6,37,CC,37.84824,3.693808219,36.197,0.8301369863
071123-NAPL-024-B,33.3,25.1,33.5,CC,34.26144,2.887207207,32.8055,1.484984985
071123-NAPL-024-C,14.6,12.6,14.8,CC,15.09768,3.408767123,14.6852,0.5835616438
071123-NAPL-025-A,22.6,18.6,22.9,CC,23.39856,3.533451327,22.5341,0.2915929204
071123-NAPL-025-B,24.1,18.9,24.2,CC,24.7308,2.617427386,23.7938,1.270539419
071123-NAPL-025-C,20.5,17.2,20.5,CC,20.93904,2.141658537,20.2085,1.42195122
071123-NAPL-026-A,27.1,21.1,28.2,CC,28.83,6.383763838,27.6698,2.102583026
071123-NAPL-026-B,24.5,19.1,24,CC,24.52584,0.1054693878,23.6,3.673469388
071123-NAPL-026-C,21.6,17.1,21.5,CC,21.96384,1.684444444,21.1775,1.956018519
071123-NAPL-026-D,13.6,10.9,12.8,CC,13.04808,4.058235294,12.7472,6.270588235
073123-CARP-010-A,15.42,13.6,14.3,DP,14.58528,5.413229572,15.0599,2.335278859
073123-CARP-010-B,17.6,15.3,17.6,DP,17.96712,2.085909091,18.4688,4.936363636
073123-CARP-010-C,15.5,13.2,14.55,DP,14.84148,4.248516129,15.31815,1.173225806
073123-CARP-011-A,16.3,13.9,15.3,DP,15.61008,4.232638037,16.0929,1.270552147
073123-CARP-011-B,12.8,11.1,12.2,DP,12.4332,2.865625,12.8906,0.7078125
073123-CARP-011-C,24.5,22.3,24.5,DP,25.03824,2.196897959,25.5965,4.475510204
073123-CARP-001-A,7.9,5.8,7.5,DP,7.61664,3.586835443,8.0355,1.715189873
073123-CARP-001-B,5,4.5,5.3,DP,5.36208,7.2416,5.7629,15.258
073123-CARP-001-C,7.2,6.1,7.1,DP,7.20672,0.09333333333,7.6223,5.865277778
073123-CARP-002-A,17.2,14.4,16.3,DP,16.63488,3.285581395,17.1259,0.4308139535
073123-CARP-002-B,23.3,19.7,21.6,DP,22.06632,5.294763948,22.6008,3.000858369
073123-CARP-002-C,21.3,14.5,20.4,DP,20.83656,2.175774648,21.3612,0.2873239437
073123-CARP-003-A,19.8,17.6,18.8,DP,19.19688,3.046060606,19.7084,0.4626262626
073123-CARP-003-B,20,14.9,19.2,DP,19.6068,1.966,20.1216,0.608
073123-CARP-003-C,20,14.1,19.5,DP,19.91424,0.4288,20.4315,2.1575
073123-CARP-004-A,10,8.6,11.3,DP,11.51088,15.1088,11.9609,19.609
073123-CARP-004-B,16.7,15.5,16.9,DP,17.24976,3.291976048,17.7457,6.261676647
073123-CARP-005-A,23.6,22.3,23.3,GR,23.80848,0.8833898305,23.3992,0.8508474576
073123-CARP-005-B,29.2,28.1,29.1,GR,29.75232,1.891506849,28.9904,0.7178082192
073123-CARP-005-C,27.1,24,27,GR,27.60024,1.845904059,26.966,0.4944649446
073123-CARP-006-A,20,16.6,19.5,GR,19.91424,0.4288,19.736,1.32
073123-CARP-006-B,20.56,20,20.1,GR,20.52912,0.1501945525,20.3144,1.194552529
073123-CARP-007-A,21.7,20.9,21.1,GR,21.55392,0.6731797235,21.2784,1.942857143
073123-CARP-008-A,23.2,23,23,GR,23.50104,1.297586207,23.11,0.3879310345
073123-CARP-009-A,17.2,16.8,17,GR,17.35224,0.8851162791,17.326,0.7325581395
080723-MOHK-10-A,13.3,11.3,12.7,CYOS,12.9456,2.664661654,13.3181,0.1360902256
080723-MOHK-010-B,27.3,24.6,26.2,CYOS,26.7804,1.903296703,26.8586,1.616849817
080723-MOHK-010-C,30.1,27.1,29.1,CYOS,29.75232,1.155083056,29.7673,1.105315615
080723-MOHK011-A,25.7,23.3,25.1,CYOS,25.65312,0.1824124514,25.7553,0.2151750973
080723-MOHK-11-B,46.9,24.1,46.5,CYOS,47.58384,1.458081023,47.2195,0.6812366738
080723-MOHK-11-C,25.5,21.8,25.3,CYOS,25.85808,1.404235294,25.9559,1.787843137
080723-MOHK-12-A,35.9,31.9,35.2,CYOS,36.0036,0.2885793872,35.8856,0.04011142061
080723-MOHK-12-B,21.4,19.7,20.8,CYOS,21.24648,0.7173831776,21.4424,0.1981308411
080723-MOHK-12-C,46.4,26.8,44.9,CYOS,45.94416,0.9824137931,45.6147,1.692456897
080723-MOHK-13-A,8.7,7,8.1,R,8.23152,5.384827586,7.9948,8.105747126
080723-MOHK-13-B,8,7.4,8,R,8.12904,1.613,7.919,1.0125
080723-MOHK-16-A,3.7,3.3,3.7,R,3.7224,0.6054054054,4.6596,25.93513514
080723-MOHK-16-B,2.5,2.3,2.5,R,2.49264,0.2944,3.75,50
080723-MOHK-15-A,17.815,16.518,18,R,18.37704,3.154869492,15.499,13.00028066
080723-MOHK-15-B,11.5,7.9,10.9,R,11.10096,3.469913043,10.1172,12.02434783
080723-MOHK-15-C,10.1,9.3,10,R,10.17864,0.7786138614,9.435,6.584158416
080723-MOHK-14-A,7.1,6.6,6.9,R,7.00176,1.383661972,7.0852,0.2084507042
