specimen_id,height_i,height_h,height_r,species,calculated_ir,percent_difference_r
080723-MOHK-014-B,7.4,7,7.2,R,7.3092,1.227027027
080723-MOHK-014-C,7.8,6.6,7.6,R,7.71912,1.036923077
080723-MOHK-022-A,22.6,20,22.7,R,23.1936,2.626548673
080723-MOHK-022-B,12.3,11,12.3,R,12.53568,1.916097561
080723-MOHK-022-C,19.4,17.2,19.5,R,19.91424,2.650721649
080723-MOHK-021-A,4.8,4.6,4.8,CO,4.84968,1.035
080723-MOHK-021-B,9.7,9.5,9.5,CO,9.66624,0.3480412371
080723-MOHK-021-C,12.5,11.9,12.6,CO,12.84312,2.74496
080723-MOHK-020-A,15.8,15.1,15.5,CO,15.81504,0.09518987342
080723-MOHK-020-B,13,12.3,12.9,CO,13.15056,1.158153846
080723-MOHK-020-C,15.2,13.2,15.3,CO,15.61008,2.697894737
080723-MOHK-019-A,8.7,8.6,8.8,CO,8.94888,2.860689655
080723-MOHK-019-B,7.3,7.1,7.4,CO,7.51416,2.93369863
080723-MOHK-019-C,9.7,9.5,9.7,CO,9.8712,1.764948454
080723-MOHK-018-A,7.5,7.2,7.2,CO,7.3092,2.544
080723-MOHK-018-B,7.8,7.6,7.8,CO,7.92408,1.590769231
080723-MOHK-018-C,6.7,6.7,6.8,CO,6.89928,2.974328358
080723-MOHK-017-A,6.4,6.2,6.4,CO,6.48936,1.39625
080723-MOHK-017-B,6.3,4.5,4.7,CO,4.7472,24.64761905
080723-MOHK-017-C,7.2,6.7,6.7,CO,6.7968,5.6
080723-MOHK-001-A,14.9,11.3,12.9,DP,13.15056,11.74120805
080723-MOHK-001-B,22.6,17.4,20,DP,20.42664,9.616637168
080723-MOHK-001-C,15.3,12.3,14,DP,14.27784,6.680784314
080723-MOHK-002-A,5.5,5.5,5.6,CO,5.66952,3.082181818
080723-MOHK-002-B,6.7,6.4,6.7,CO,6.7968,1.444776119
080723-MOHK-002-C,5.55,5.6,5.7,CO,5.772,4
080723-MOHK-003-A,32.1,26.8,29.6,DP,30.26472,5.717383178
080723-MOHK-003-B,28.1,23.9,28.3,DP,28.93248,2.962562278
080723-MOHK-003-C,22.8,18.3,22.6,DP,23.09112,1.276842105
080723-MOHK-004-A,12.9,10.7,11.2,DP,11.4084,11.5627907
080723-MOHK-004-B,17.4,14.3,15.7,DP,16.02,7.931034483
080723-MOHK-004-C,14.4,12.2,13.3,DP,13.56048,5.83
080723-MOHK-005-A,10.3,8,9.5,DP,9.66624,6.153009709
080723-MOHK-005-B,16.3,13.1,15,DP,15.30264,6.118773006
080723-MOHK-005-C,24.2,17,20,DP,20.42664,15.59239669
080723-MOHK-006-A,24.3,20.8,23.2,DP,23.706,2.444444444
080723-MOHK-006-B,27.4,25.9,26.7,DP,27.2928,0.3912408759
080723-MOHK-006-C,9,6.9,8.6,DP,8.74392,2.845333333
080723-MOHK-007-A,20.8,17.2,19,DP,19.40184,6.721923077
080723-MOHK-007-B,21.1,16.6,19.6,DP,20.01672,5.134028436
080723-MOHK-007-C,17.9,14.6,16.4,DP,16.73736,6.495195531
080723-MOHK-008-A,29.6,26.6,28.5,CYOS,29.13744,1.562702703
080723-MOHK-008-B,34.6,30.6,33.3,CYOS,34.05648,1.570867052
080723-MOHK-008-C,32.6,29.5,31.5,CYOS,32.21184,1.190674847
080723-MOHK-009-A,30.4,27.7,29.4,CYOS,30.05976,1.119210526
080723-MOHK-009-B,28.6,26.1,27.5,CYOS,28.11264,1.704055944
080723-MOHK-009-C,24.8,22.3,23.7,CYOS,24.2184,2.34516129
072523-BULL-004-A,10.3,9.4,10,NAND,10.17864,1.178252427
072523-BULL-004-B,4.53,3.58,4.4,NAND,4.43976,1.99205298
072523-BULL-004-C,13,11.55,12.63,NAND,12.873864,0.9702769231
072523-BULL-005-A,17.14,16.46,17.75,BF,18.12084,5.72252042
072523-BULL-005-B,8.7,7.27,8.39,BF,8.528712,1.968827586
072523-BULL-005-C,14.28,12.66,14.53,BF,14.820984,3.788403361
072523-BULL-006-A,8.77,7.19,8.8,POLA,8.94888,2.03968073
072523-BULL-006-B,6.34,5.98,6.76,POLA,6.858288,8.17488959
072523-BULL-006-C,21,18.85,20.89,POLA,21.338712,1.612914286
072523-BULL-006-D,13.63,11.57,12.82,POLA,13.068576,4.119031548
072523-BULL-007-A,28.1,26.23,27,BF,27.60024,1.778505338
072523-BULL-007-B,27.5,22.8,26.7,BF,27.2928,0.7534545455
072523-BULL-007-C,13.14,12.53,13.03,BF,13.283784,1.094246575
072523-BULL-008-A,14,13.86,14,BF,14.27784,1.984571429
072523-BULL-008-B,15.3,14.02,15.95,BF,16.2762,6.380392157
072523-BULL-008-C,15.95,14.52,15.16,BF,15.466608,3.030670846
072523-BULL-009-A,12.7,10.77,12.36,BF,12.597168,0.8097007874
072523-BULL-009-B,16.1,13.53,15.78,BF,16.101984,0.01232298137
072523-BULL-009-C,15.24,12.83,15.66,BF,15.979008,4.849133858
072523-BULL-010-A,16.4,14.49,15.26,NAND,15.569088,5.066536585
072523-BULL-010-B,4.52,3.93,4.27,NAND,4.306536,4.722654867
072523-BULL-010-C,14.27,13.84,14,NAND,14.27784,0.05494043448
072523-BULL-011-A,13.09,11.68,12.89,BF,13.140312,0.3843544691
072523-BULL-011-B,7.613,7.211,7.559,BF,7.6771032,0.8420228556
072523-BULL-011-C,9.66,7.86,9.43,BF,9.594504,0.6780124224
072523-BULL-012-A,16.45,14.31,16.2,BF,16.5324,0.5009118541
072523-BULL-012-B,18.11,16.18,17.76,BF,18.131088,0.1164439536
072523-BULL-012-C,4.92,3.65,5.1,BF,5.15712,4.819512195
