specimen_id,thickness_mm_i_1,thickness_mm_i_2,thickness_mm_i_3,thickness_mm_i_4,thickness_mm_i_5,thickness_mm_i_6,thickness_mm_i_7,thickness_mm_i_8,thickness_mm_i_9,thickness_mm_i_10
073123-CARP-003-C,1.9,2.2,2.5,2.4,2.3,0.7,0.5,0.4,0.5,2.4
073123-CARP-004-A,2,2.3,2.1,2.3,2.3,0.4,0.9,1.3,0.2,0.4
073123-CARP-004-B,2.6,2.3,2.2,2.7,2.2,1.4,1.7,0.8,0.8,1.7
073123-CARP-005-A,2.6,2.3,2.7,2.7,2.2,1.4,1.7,0.8,0.8,1.7
073123-CARP-005-B,2.4,1.8,2.4,2.2,1.7,1.2,0.6,1.5,0.5,0.8
073123-CARP-005-C,1.9,1.4,2.3,2,2.5,1.1,1.6,1.7,0.4,0.3
073123-CARP-006-A,2.2,2.2,1.7,2,2.4,1.1,1.2,0.5,0.6,0.6
073123-CARP-006-B,2.8,2.3,2.1,3.5,2.3,0.9,1.2,0.7,1.2,0.9
073123-CARP-007-A,1.9,1.4,2.3,2,2.5,1.1,1.6,1.7,0.4,0.3
073123-CARP-008-A,2.2,2.2,1.7,2,2.4,1.1,1.2,0.5,0.6,0.6
073123-CARP-009-A,2.8,2.3,2.1,3.5,2.3,0.9,1.2,0.7,1.2,0.9
072523-BULL-014-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-014-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-015-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-015-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-015-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
080723-MOHK-10-A,1.4,1.1,1,0.8,0.9,0.6,0.6,0.8,0.1,0.8
080723-MOHK-010-B,1,0.5,0.9,0.7,0.9,0.5,0.9,0.5,0.9,0.4
080723-MOHK-010-C,1,0.4,1.1,0.5,1.1,0.5,1,0.4,0.4,0.4
080723-MOHK-011-A,0.9,0.8,0.3,0.8,0.2,0.7,0.3,0.6,0.2,0.4
080723-MOHK-11-B,1,1,1,0.9,0.9,0.8,0.9,1.1,0.4,0.5
080723-MOHK-11-C,1,0.4,0.9,0.3,0.8,0.4,0.6,0.2,0.5,0.3
080723-MOHK-12-A,0.8,0.8,0.9,0.3,1,0.2,1,0.3,0.5,0.7
080723-MOHK-12-B,1.2,0.3,1.1,0.4,1.1,0.5,0.9,0.4,0.7,0.4
080723-MOHK-12-C,0.9,0.9,0.4,1.1,0.5,0.4,1.1,0.5,1.2,1
080723-MOHK-13-A,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-13-B,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-16-A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-16-B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-15-A,0.4,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
080723-MOHK-15-B,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-15-C,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-14-A,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
080723-MOHK-014-B,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-014-C,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-022-A,0.4,0.6,0.6,0.8,0.5,0.5,0.4,0.6,0.5,0.7
080723-MOHK-022-B,0.6,0.5,0.5,0.4,0.3,0.4,0.3,0.3,0.4,0.6
080723-MOHK-022-C,0.6,0.7,0.5,0.4,0.7,0.5,0.5,0.2,0.5,0.6
080723-MOHK-021-A,0.6,0.5,0.3,0.5,0.6,0.2,0.5,0.6,0.8,0.3
080723-MOHK-021-B,0.7,1,0.5,0.3,0.5,0.6,0.4,0.6,0.9,0.7
080723-MOHK-021-C,1,0.7,0.3,0.6,0.7,0.4,0.5,0.4,0.6,0.3
080723-MOHK-020-A,1.2,0.7,0.7,0.4,0.2,0.4,0.6,0.6,0.2,0.7
080723-MOHK-020-B,0.8,0.6,0.7,0.4,0.8,0.4,0.3,0.5,0.3,0.6
080723-MOHK-020-C,0.8,0.4,0.2,0.3,0.3,0.4,0.6,0.3,0.6,0.4
080723-MOHK-019-A,0.7,0.3,0.9,0.9,0.4,0.6,0.5,0.4,0.5,0.8
080723-MOHK-019-B,0.8,0.7,0.3,0.5,0.6,0.3,0.4,0.6,0.6,0.6
