specimen_id,thickness_mm_r_1,thickness_mm_r_2,thickness_mm_r_3,thickness_mm_r_4,thickness_mm_r_5,thickness_mm_r_6,thickness_mm_r_7,thickness_mm_r_8,thickness_mm_r_9,thickness_mm_r_10
073123-CARP-004-A,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1
073123-CARP-004-B,0.2,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2
073123-CARP-005-A,2.8,0.8,1.9,2,1.7,1.6,0.9,0.8,0.6,0.7
073123-CARP-005-B,2.1,1.4,2.1,1.9,1.5,0.6,0.5,1.3,0.5,0.3
073123-CARP-005-C,2.2,2.1,2.2,1,1.7,0.4,0.8,0.8,1,0.5
073123-CARP-006-A,1.8,1.4,1.4,1.5,1.6,1.7,1.2,1.2,1.4,0.5
073123-CARP-006-B,1.6,1.7,0.8,0.9,1.4,2.1,1.2,1.9,1.5,0.8
073123-CARP-007-A,2.6,2.7,2,2,1.6,0.8,0.6,0.9,0.7,2.2
073123-CARP-008-A,1.7,2,2.1,1.8,2,1.1,0.9,0.4,1.1,0.6
073123-CARP-009-A,2.6,2.3,2.1,0.3,1.3,1.1,0.6,1.6,0.6,0.4
072523-BULL-014-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-014-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-015-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-015-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-015-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
080723-MOHK-10-A,0.3,0.4,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.3
080723-MOHK-010-B,0.1,0.3,0.1,0.3,0.1,0.2,0.2,0.2,0.1,0.1
080723-MOHK-010-C,0.4,0.3,0.1,0.3,0.1,0.1,0.3,0.1,0.3,0.4
080723-MOHK011-A,0.1,0.3,0.1,0.3,0.2,0.3,0.2,0.2,0.2,0.2
080723-MOHK-11-B,0.2,0.3,0.1,0.3,0.1,0.4,0.1,0.3,0.3,0.3
080723-MOHK-11-C,0.3,0.2,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.2
080723-MOHK-12-A,0.3,0.2,0.2,0.2,0.2,0.1,0.3,0.1,0.3,0.3
080723-MOHK-12-B,0.4,0.3,0.1,0.3,0.1,0.3,0.2,0.1,0.2,0.1
