specimen_id,surf_i,surf_h,surf_r,species,,,MAKE ALL PIXEL
080723-MOHK-001-C,76.92,38.108,56.739,DP,,,
080723-MOHK-002-A,17.714,17.151,17.079,CO,,,
080723-MOHK-002-B,11.506,11.465,12,CO,,,
080723-MOHK-002-C,3.938,3.443,3.654,CO,,,
080723-MOHK-003-A,199.951,82.298,121.483,DP,,,
080723-MOHK-003-B,233.26,103.379,136.342,DP,,,
080723-MOHK-003-C,196.038,72.153,114.622,DP,,,
080723-MOHK-004-A,49.291,22.157,35.093,DP,,,
080723-MOHK-004-B,63.696,27.862,48.709,DP,,,
080723-MOHK-004-C,50.485,25.792,38.055,DP,,,
080723-MOHK-005-A,21.993,11.407,16.962,DP,,,
080723-MOHK-005-B,46.995,23.048,37.916,DP,,,
080723-MOHK-006-A,119.214,66.259,85.072,DP,,,
080723-MOHK-006-B,144.29,59.948,95.533,DP,,,
080723-MOHK-006-C,29.242,12.382,22.171,DP,,,
080723-MOHK-007-A,91.497,43.258,71.503,DP,,,
080723-MOHK-007-B,120.769,55.194,96.244,DP,,,
080723-MOHK-007-C,114.081,57.431,79.67,DP,,,
080723-MOHK-008-A,58.18,34.392,50.826,CYOS,,,
080723-MOHK-008-B,56.099,32.512,45.49,CYOS,,,
080723-MOHK-008-C,91.257,54.041,77.376,CYOS,,,
080723-MOHK-009-A,91.834,55.564,76.257,CYOS,,,
080723-MOHK-009-B,111.46,65.19,93.077,CYOS,,,
080723-MOHK-009-C,61.789,34.951,50.027,CYOS,,,
072523-BULL-004-A,41.958,26.659,36.605,NAND,,,
072523-BULL-004-B,40.525,21.238,33.759,NAND,,,
072523-BULL-004-C,86.51,52.759,63.697,NAND,,,
072523-BULL-005-A,82.583,54.436,71.14,BF,,,
072523-BULL-005-B,141.388,86.272,119.38,BF,,,
072523-BULL-005-C,84.332,52.784,75.287,BF,,,
072523-BULL-006-A,49.379,35.69,51.123,POLA,,,
072523-BULL-006-B,161.21,64.801,154.232,POLA,,,
